79398	95819	83348	92364	101668	74651	80011	89687	94320	78528	93485	101087	81880	82221	83464	115176	78851	79022	88000	93035	103587	74466	93123	81301	89869	78580	91502	93961	80572	97473	73857	74925	85714	98534	75728
76846	93648	80928	90094	99443	71986	77387	87352	92007	76260	91277	99040	79456	79847	81000	113429	76438	76596	85478	90420	101778	71967	91037	78864	87609	75743	89409	91744	78450	95298	71053	72449	83140	96546	73353
72567	89420	76780	85816	95038	67678	72998	83120	87666	72263	87100	94763	75261	75702	76678	109240	72284	72452	80998	85758	97757	67834	86944	74585	83309	71131	85305	87450	74592	91000	66566	68297	78664	92491	69394
69633	86455	73987	82761	91907	64670	70033	80223	84660	69586	84206	91715	72417	72893	73650	106205	69531	69708	77859	82298	95031	65018	84098	71598	80243	67891	82489	84436	72011	87972	63419	65483	75637	89737	66870
68654	85757	73256	81927	91110	63529	69053	79521	83967	68878	83553	91178	71643	72170	72719	105899	68740	68935	76917	81004	94662	64037	83464	70636	79347	66703	81834	83655	71335	87210	62222	64551	74727	89348	66303
68721	85903	73628	81933	90954	63336	69237	79781	84252	69332	83839	91494	72044	72517	72850	106279	69205	69475	77011	80365	95140	64089	83694	70724	79447	66688	82176	83790	71635	87335	62220	64761	74993	89851	66961
68320	85779	73699	81748	90623	62498	69032	79746	84357	69417	83953	91718	72077	72491	72787	106825	69386	69634	76788	79103	95476	63544	83705	70518	79339	66293	82255	83776	71582	87244	61669	64536	74839	90283	67216
69841	87058	75498	83042	91815	62785	70486	81318	86122	71191	85952	93818	74472	74444	74619	109645	71464	71798	78330	79546	97411	64499	85295	72167	81269	68214	84220	86041	73411	89259	62997	66103	76493	92705	69216
73237	90253	78851	85990	94694	65231	73839	84723	89288	74594	89463	97235	78473	77884	77901	113724	74678	74800	81364	81761	100466	66888	88241	74712	84420	71749	87170	89402	76878	92568	65538	69119	78827	94949	72016
75237	91264	80069	87126	95146	67092	75418	86878	90411	75060	90884	98562	80798	80758	80373	115918	77124	76718	83662	83731	102243	69276	91229	77104	86895	75309	89897	92379	80427	95750	68461	72275	81144	96570	74933
78306	94005	82898	89674	97796	69996	78375	89786	93139	77910	93601	101246	83407	83668	82683	118167	79381	78305	86008	86135	103913	71502	93703	79148	88968	78041	91994	94640	83218	97928	70952	74915	83166	97827	77103
81952	97334	86198	93038	100958	73574	81963	93259	96348	81222	96611	104571	86645	87202	85661	120805	82318	80836	88987	89372	106092	74593	96812	81899	91925	81321	94594	97621	86536	100704	74095	78112	86098	100017	79950
79601	94838	83650	90546	98540	71138	79456	90737	93887	78776	94041	102092	83972	84797	82835	117916	79554	77754	86179	86544	102937	71783	94223	78834	89138	78691	91665	94933	84312	97761	71295	75660	83114	96836	77187
76746	91069	80401	87393	94658	68447	76202	87523	90059	75728	90624	98701	80970	82031	79843	114288	76572	74710	82947	83058	99173	68607	90990	75742	86111	75990	88266	91721	81651	94323	68435	73284	79876	93241	74100
75219	89080	78786	85617	92231	66947	74044	85783	88179	74099	88926	97211	79374	80679	78065	112356	74930	73315	80849	80884	97310	66433	88872	73669	84081	74446	86504	89971	80038	92242	66418	71702	77768	91218	72344
74704	88685	78381	85023	91799	66191	73289	85173	87881	73413	88543	97352	79414	81052	77609	112779	74804	73644	80211	80112	97856	65600	88570	73131	83981	74693	87014	90221	80418	92262	66032	72154	77284	92162	72179
80474	93370	83304	90543	95893	70982	78374	90814	93650	78882	94134	103707	84638	86625	82161	118374	79629	79490	85029	84330	104053	69596	93225	77622	88560	79625	92849	95536	85669	97577	70961	77506	81855	98204	76758
83980	96743	86797	93698	98701	74321	81158	94007	97257	82586	97499	107582	88097	90215	85292	122226	82649	83254	88522	87218	108111	72270	96244	80801	91642	83220	96782	99184	89197	100962	74173	81051	84941	102120	79701
84612	96576	87038	92640	97656	74381	81678	94334	96604	83259	97209	106714	89185	92042	84308	121356	82868	83885	87830	85948	109233	73582	96496	80165	90279	82991	97517	98456	91453	101295	73728	81708	84522	101701	81003
81972	93188	83734	90183	94250	72311	78595	91375	93644	80021	94106	104038	86450	88771	82210	118303	80106	80871	85190	83481	105157	70331	93184	77803	88447	81328	94363	95894	88077	98119	71850	78663	81546	98595	77945
