85934	86678	81739	91750	93816	87579	82020	86078	75711	76406	81915	93979	80609	78738	95728	105693	87332	91031	87233	90693	86389	95885	89889	82106	88479	77240	82448	84823	85056	88013	85900	82092	89978	82993	85157
83566	84314	79404	89183	91131	84949	79649	83623	73213	73951	79592	91347	78217	76217	93101	102381	84981	88787	84723	88391	83690	93789	87309	79755	86032	74932	79875	82284	82428	85395	83376	79709	87747	80549	82736
82803	83225	78355	87800	89457	84695	78515	83056	71826	72833	78448	90097	77115	74923	91554	99648	84687	88063	83340	87165	82201	92766	85809	78721	84662	74421	78507	80670	80910	83988	82969	79446	86701	79356	81640
82784	82968	78196	86727	86793	84664	78085	83040	69822	72336	78153	88546	76981	73236	89232	94387	84654	88035	82600	86322	80353	92752	83538	78705	83298	74403	77201	78066	78659	82800	82950	79421	86363	78208	81471
81915	82221	77646	85036	84132	85094	77073	81959	68483	71535	76961	87628	76172	72331	87417	85034	84951	88090	80782	85146	78490	91523	81699	77550	82014	73590	75751	75708	77001	81173	82037	78956	85843	77209	80665
83644	83847	79077	87622	85953	88387	78980	84405	70192	73235	79042	89374	77864	74171	90169	82408	86842	88896	83491	87227	81289	93620	83709	79577	84215	75246	78122	77165	79596	83712	84704	80758	87261	79141	82353
90404	89851	84910	93679	90267	97857	84550	93051	74266	78680	84556	93769	83922	78814	95224	85855	94481	95189	90165	92318	86725	99198	87991	85797	89643	82829	83677	81201	84652	89823	93443	88697	92417	83441	88489
97393	96289	91737	100593	97026	105980	90931	100258	81028	85775	90880	100603	90978	85574	102227	93106	101291	101393	97014	98670	93731	104682	94860	92544	96737	89797	90832	88048	91907	97118	100708	95852	98395	90009	95412
101280	99658	95637	104034	100313	110547	94205	103956	84682	89843	94101	104314	94978	89194	105699	97148	105001	104788	100323	101944	97134	107129	98425	96146	100591	93603	94622	91636	95706	100919	104426	99848	101495	93539	99247
104101	102155	98465	106639	102760	114002	96710	106755	87324	92799	96567	107017	97842	91805	108330	99992	107825	107190	102921	104408	99806	109139	101101	98908	103323	96317	97419	94238	98556	103739	107372	102813	103731	96166	102086
106487	104822	100911	109474	105916	116384	99514	109026	90132	95480	99273	110163	100323	94653	111291	104255	110421	109545	105634	106958	103061	111717	104117	101597	105676	97975	100237	97063	101460	106544	110164	105135	106213	99126	104742
105537	104209	99940	108925	105588	115193	99054	108314	89487	94567	98825	109465	99393	94012	110838	104021	109606	108728	105180	106425	102673	111687	103606	100965	104789	97418	99527	96519	100794	105813	109415	104078	105716	98577	103901
103234	102278	97602	107120	104001	112419	97252	106314	87489	92202	97127	107229	97085	91952	109182	102384	107382	106537	103530	104711	100981	110518	101769	99125	102759	95248	97492	94757	98842	103847	107438	101683	103934	96636	101673
101035	100282	95391	105196	102277	109738	95324	104227	85503	89913	95258	105037	94903	89916	107408	100849	105140	104402	101707	102869	99085	109011	99871	97093	100796	93080	95448	93000	96848	101793	105264	99401	102049	94620	99486
100789	100273	95192	105371	102789	109207	95354	104081	85668	89747	95308	105167	94693	90021	107711	102156	104825	104263	101905	102899	99385	109143	100139	96943	100830	92856	95500	93327	97019	101868	105063	99079	102058	94642	99329
103170	102797	97618	107950	105641	111662	97814	106357	88343	92268	97640	108228	97069	92772	110271	105787	107172	106886	104280	105228	102122	111175	102785	99129	103188	95085	98079	95881	99589	104438	107367	101428	104537	97239	101796
108405	109364	103873	113328	112192	117282	104317	109944	95005	98984	103330	116534	103003	99863	115685	114226	113665	113688	108444	110178	108735	115313	109261	104711	107425	98921	103943	101390	105116	109845	112416	106513	110852	104306	108311
108732	109672	104236	113665	112527	117607	104621	110301	95420	99871	103650	118468	103315	100581	116020	117169	114089	114251	108801	110516	109063	115664	109582	105026	107769	99268	104270	101729	105453	110183	112741	106835	111165	105464	108761
108279	109216	103776	113215	112065	117173	104155	109856	94947	99404	103184	118007	102851	100120	115560	116687	113635	113805	108343	110053	108594	115200	109109	104556	107313	98821	103807	101254	104991	109723	112287	106391	110704	104990	108298
103597	104220	99186	108591	108062	111081	99680	104829	90902	94812	99061	112127	98434	95227	111654	113939	108252	107867	104054	106170	104194	111500	105408	100727	103313	93891	99513	98089	101181	105288	107340	101368	105804	100529	103594
100230	100672	95703	105710	105673	106806	96345	101737	88025	91235	95992	108075	95064	91865	109256	113394	104156	103823	101508	103482	101270	108940	102819	97627	100833	90800	96573	96082	98715	102417	103822	97747	102353	97101	100047
98174	99189	93823	104560	105588	103545	95087	99524	87191	89480	94744	107028	93139	90793	108562	114531	101818	101977	100303	102332	100543	108011	102230	95990	99400	88552	95294	95722	97768	101069	101611	95302	101050	96032	98269
92545	93822	88315	99251	100874	96433	89877	93715	82221	83791	89698	101321	87537	85488	103552	112347	95754	96508	95147	97532	95204	103661	97320	90631	94314	83033	89890	91228	92603	95573	95478	89323	96076	90787	92627
