97854	98239	95462	100975	102183	98600	95690	97995	92247	92453	95596	102324	94900	93776	103202	108904	98581	100711	98654	100487	98126	103387	100062	95645	99239	93049	95922	97207	97155	99062	97747	95533	100217	96216	97411
96528	96913	94152	99522	100668	97110	94365	96626	90856	91074	94295	100846	93563	92361	101711	107045	97260	99455	97256	99195	96617	102209	98617	94324	97865	91761	94483	95783	95664	97601	96326	94186	98978	94849	96055
96101	96302	93563	98739	99724	96966	93731	96310	90084	90446	93654	100144	92947	91635	100833	105511	97095	99050	96486	98507	95784	101634	97777	93743	97096	91476	93718	94878	94803	96816	96097	94037	98397	94181	95441
96090	96158	93474	98131	98221	96948	93491	96301	88968	90167	93489	99273	92872	90688	99515	102558	97076	99034	96074	98034	94751	101626	96505	93734	96330	91466	92988	93418	93526	96153	96086	94023	98209	93539	95346
95604	95739	93165	97174	96720	97192	92925	95698	88223	89717	92821	98757	92420	90180	98485	97308	97243	99065	95061	97374	93709	100935	95475	93085	95609	91012	92177	92096	92586	95245	95572	93760	97920	92980	94895
96572	96651	93968	98638	97747	99058	93991	97062	89174	90672	93987	99738	93366	91213	100047	95834	98306	99516	96570	98542	95274	102114	96601	94224	96845	91936	93503	92913	94058	96662	97074	94779	98708	94061	95840
100356	100019	97242	102067	100181	104425	97104	101883	91442	93730	97075	102206	96752	93819	102916	97769	102599	103038	100287	101399	98314	105249	98999	97719	99892	96168	96609	95176	96926	100072	101994	99267	101572	96467	99277
104269	103631	101073	105982	103994	109028	100671	105901	95207	97715	100617	106044	100696	97613	106891	101839	106426	106510	104102	104964	102231	108331	102846	101511	103875	100057	100610	99015	101041	104143	106085	103312	104893	100142	103155
106445	105521	103262	107930	105848	111616	102501	107963	97241	100000	102421	108128	102932	99645	108862	104108	108511	108410	105945	106801	104134	109706	104843	103535	106039	102181	102729	101027	103196	106264	108178	105571	106615	102117	105303
108024	106922	104849	109405	107229	113574	103901	109524	98712	101660	103802	109646	104533	101110	110355	105704	110098	109754	107392	108184	105628	110836	106342	105087	107573	103696	104293	102486	104813	107838	109837	107247	107857	103587	106893
109360	108418	106222	111010	109009	114924	105468	110790	100275	103166	105318	111413	105920	102709	112036	108097	111557	111072	108903	109615	107448	112285	108031	106598	108894	104621	105869	104070	106460	109403	111409	108560	109236	105243	108381
108828	108074	105677	110699	108824	114249	105211	110393	99916	102653	105067	111021	105400	102349	111779	107966	111099	110615	108650	109316	107231	112268	107745	106243	108396	104310	105472	103765	106082	108995	110987	107962	108960	104936	107910
107539	106991	104365	109677	107929	112677	104204	109278	98804	101325	104116	109765	104110	101193	110839	107047	109849	109389	107731	108354	106285	111611	106716	105209	107256	103099	104334	102777	104975	107898	109874	106608	107970	103850	106662
106308	105871	103124	108588	106956	111158	103126	108114	97698	100039	103069	108534	102890	100050	109832	106185	108589	108194	106716	107320	105225	110764	105653	104067	106154	101889	103191	101792	103844	106752	108650	105318	106923	102722	105437
106170	105866	103012	108687	107245	110857	103143	108033	97790	99946	103097	108607	102773	100109	110004	106919	108412	108116	106826	107337	105393	110838	105803	103983	106173	101764	103220	101975	103941	106794	108537	105136	106928	102734	105349
