0.617	0.674	0.719
0.614	0.673	0.718
0.611	0.671	0.716
0.609	0.670	0.714
0.607	0.669	0.712
0.604	0.667	0.710
0.601	0.666	0.709
0.596	0.665	0.708
0.592	0.662	0.707
0.587	0.659	0.705
0.582	0.656	0.704
0.577	0.654	0.702
0.572	0.651	0.700
0.566	0.648	0.698
0.560	0.646	0.695
0.553	0.637	0.693
0.546	0.629	0.690
0.539	0.621	0.686
0.533	0.613	0.682
0.528	0.605	0.678
0.522	0.596	0.673
0.517	0.588	0.667
0.512	0.581	0.661
0.508	0.573	0.655
0.503	0.565	0.648
0.499	0.558	0.642
0.494	0.550	0.634
0.490	0.543	0.627
0.487	0.535	0.619
0.483	0.533	0.611
0.478	0.530	0.605
0.473	0.527	0.599
0.469	0.524	0.592
0.465	0.522	0.586
0.461	0.519	0.580
0.457	0.516	0.574
0.453	0.511	0.569
0.450	0.507	0.563
0.447	0.502	0.557
0.443	0.497	0.552
0.440	0.492	0.547
0.437	0.487	0.542
0.433	0.482	0.539
0.429	0.478	0.535
0.426	0.474	0.532
0.422	0.470	0.528
0.419	0.466	0.524
0.416	0.462	0.520
0.413	0.458	0.516
0.410	0.454	0.512
0.407	0.451	0.507
0.404	0.449	0.503
0.401	0.446	0.499
0.399	0.444	0.495
0.396	0.441	0.491
0.393	0.439	0.487
0.390	0.436	0.483
0.388	0.433	0.480
0.385	0.430	0.476
0.381	0.425	0.472
0.379	0.422	0.469
0.376	0.419	0.466
0.373	0.416	0.463
0.370	0.413	0.460
0.368	0.411	0.457
0.365	0.408	0.454
0.362	0.405	0.451
0.359	0.402	0.448
0.356	0.399	0.444
0.353	0.396	0.441
0.350	0.392	0.437
0.347	0.390	0.434
0.345	0.387	0.430
0.342	0.385	0.427
0.340	0.383	0.423
0.337	0.380	0.420
0.335	0.378	0.417
0.333	0.376	0.414
0.330	0.371	0.410
0.327	0.367	0.407
0.325	0.362	0.404
0.323	0.357	0.401
0.321	0.353	0.397
0.319	0.348	0.394
0.317	0.344	0.390
0.315	0.343	0.387
0.313	0.341	0.383
0.312	0.340	0.380
0.310	0.339	0.377
0.308	0.338	0.374
0.307	0.337	0.371
0.305	0.336	0.368
0.303	0.334	0.365
0.302	0.331	0.362
0.300	0.329	0.360
0.299	0.326	0.357
0.299	0.323	0.355
0.298	0.321	0.353
0.298	0.318	0.352
0.297	0.317	0.350
0.297	0.316	0.349
0.296	0.315	0.348
0.295	0.314	0.346
0.295	0.312	0.345
0.294	0.311	0.344
0.292	0.311	0.343
0.292	0.312	0.342
0.292	0.313	0.342
0.291	0.314	0.342
0.290	0.315	0.343
0.289	0.317	0.344
0.288	0.318	0.346
0.286	0.319	0.349
0.285	0.318	0.350
0.284	0.316	0.351
0.283	0.315	0.354
0.282	0.314	0.356
