0.320	0.555	0.790
0.318	0.552	0.787
0.315	0.550	0.784
0.313	0.547	0.781
0.311	0.545	0.779
0.309	0.542	0.776
0.306	0.540	0.773
0.304	0.537	0.770
0.302	0.534	0.767
0.299	0.532	0.764
0.297	0.529	0.761
0.295	0.526	0.758
0.293	0.524	0.755
0.290	0.521	0.752
0.288	0.519	0.749
0.286	0.516	0.746
0.284	0.514	0.743
0.282	0.511	0.740
0.279	0.509	0.738
0.277	0.506	0.735
0.275	0.504	0.732
0.273	0.501	0.729
0.271	0.498	0.726
0.268	0.496	0.723
0.266	0.493	0.720
0.264	0.491	0.718
0.262	0.488	0.715
0.259	0.486	0.712
0.257	0.483	0.709
0.255	0.480	0.705
0.252	0.477	0.701
0.250	0.473	0.697
0.247	0.470	0.693
0.245	0.467	0.689
0.242	0.464	0.685
0.240	0.460	0.681
0.238	0.457	0.676
0.235	0.454	0.672
0.233	0.450	0.667
0.230	0.447	0.663
0.228	0.443	0.658
0.225	0.440	0.654
0.223	0.436	0.649
0.220	0.432	0.644
0.218	0.429	0.640
0.215	0.425	0.635
0.213	0.421	0.630
0.210	0.418	0.625
0.208	0.414	0.621
0.205	0.411	0.616
0.203	0.407	0.611
0.200	0.404	0.607
0.198	0.400	0.602
0.195	0.396	0.598
0.193	0.393	0.593
0.190	0.390	0.589
0.188	0.386	0.584
0.186	0.384	0.582
0.185	0.382	0.580
0.183	0.380	0.578
0.182	0.379	0.575
0.180	0.377	0.573
0.179	0.375	0.571
0.177	0.373	0.569
0.176	0.373	0.569
0.176	0.372	0.568
0.175	0.372	0.568
0.175	0.371	0.567
0.174	0.371	0.567
0.174	0.370	0.566
0.173	0.370	0.566
0.172	0.369	0.566
0.172	0.369	0.565
0.171	0.368	0.565
0.170	0.368	0.565
0.169	0.367	0.565
0.169	0.367	0.564
0.168	0.366	0.564
0.167	0.366	0.564
0.167	0.365	0.563
0.166	0.365	0.563
0.166	0.364	0.563
0.165	0.364	0.563
0.165	0.363	0.562
0.164	0.363	0.562
0.164	0.363	0.561
0.163	0.362	0.561
0.163	0.362	0.560
0.163	0.361	0.559
0.163	0.361	0.558
0.162	0.360	0.558
0.162	0.360	0.557
0.164	0.359	0.554
0.166	0.359	0.552
